url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DXaLvcwjNfHBR,Breaking Hits,"83,266 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/28oY1vSsipRE5VOyLDQqed,triple j's Like A Version,"308,552 saves",triple j,https://open.spotify.com/user/triple.j.abc
https://open.spotify.com/playlist/37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,"833,852 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXb67OkZ6150Z,Indie Covers,"294,264 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX3rXtgePifMs,EA SPORTS FC 24 Official Soundtrack,"111,734 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWIvMGe3ig7a,bummer summer,"69,822 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWT2SPAYawYcO,New Music Friday AU & NZ,"379,872 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX6tTW0xDxScH,Stay in Bed,"742,778 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6d4iaaPsPbYpMn7dL85Fzt,Rainbow Kitten Surprise Setlist 2024,""1,051 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXb9izPIc0SCS,Indie Rock Hits,"694,608 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1Bacvvb8pPrw4Fiubu018y,Rainbow Kitten Surprise (All Songs),"3,547 saves",Anthony Caropolo,https://open.spotify.com/user/2162wkd5bpwjxsttp3iw6bmda
https://open.spotify.com/playlist/37i9dQZF1DZ06evO48Rn9u,This Is Kacey Musgraves,"142,154 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2nbQyz3JXRpO7nWPnFg7iB,kiss me on the mouth and love me like a sailor,"24,405 saves",teenytinytoaster,https://open.spotify.com/user/ebobisthebest
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,614 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX42rTd7wQPNO,coastal cowgirl,"207,651 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0FwT8WLYLzqaqi3swp0SqU,Rainbow Kitten Surprise Discography,"23,984 saves",Rainbow Kitten Surprise,https://open.spotify.com/user/rainbowkittensurprise
https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4,ALT NOW,"602,401 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYRdd9noPgqB,Feel Good,"291,439 saves",Spotify,https://open.spotify.com/user/spotify
